#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#  STRING NAME (do not change!);;;;;;;;;;;X
rev_popularfronts_lithuania;The Lithuanian Popular Front (Sajudis);;;;;;;;;;X
rev_popularfronts_lithuania_desc;The Popular Front of Lithuania called Sajudis was founded in May 1988, On October 19, 1988 Gorbachev replaced Ringaudas Songaila the 'old guard' leader of the Communist Party of Lithuania with the relatively liberal Algirdas Mykolas Brazauskas. In October 1988 Brazauskas bowed to pressure from Sajudis and legalized the flying of the former National Flag of independent Lithuania, and then in November 1988 agreed a new state language law that made Lithuanian the official language of the Republic.;;;;;;;;;;X
rev_popularfronts_belarus;The Belarusian Popular Front;;;;;;;;;;X
rev_popularfronts_belarus_desc;The Belarusian Popular Front was established in 1988 as both a political party and a cultural movement, following the examples of Popular Front of Estonia, Popular Front of Latvia and the Lithuanian pro-democracy movement Sajudis. Membership was declared open to all Belarusian citizens as well as any democratic organization. The main idea of the Front was the revival of the national idea, including the rebirth of the Belarusian language. Initially, its orientation was pro-Western with a great deal of scepticism towards Russia. At one moment they propagated the idea of the union from the Baltic Sea to the Black Sea that would involve Ukraine, Poland, Belarus and Lithuania, similar to Józef Pilsudski's ''Miedzymorze''. Among the significant achievements of the Front was uncovering of the burial site of Kurapaty near Minsk. The Front claims that the NKVD performed there its secret killings.;;;;;;;;;;X
rev_popularfronts_ukraine;The People's Movement of Ukraine (Rukh);;;;;;;;;;X
rev_popularfronts_ukraine_desc;Initially organized as the People's Movement of Ukraine for Perestroika, Rukh was founded in 1989 as a civil-political movement as there were no other political parties allowed in the Soviet Union but the Communist Party. The founding of Rukh was made possible due to Mikhail Gorbachev's Glasnost policies. At first the movement aimed at supporting Gorbachev's reforms, later People's Movement of Ukraine was instrumental in conducting independence in the Ukrainian SSR. In the western oblasts ''Rukh'' became colloquially known as an abbreviation for the call ''Save Ukraine, fellows!'';;;;;;;;;;X
rev_estonian_sovereignty;The Estonian Sovereignty Declaration;;;;;;;;;;X
rev_estonian_sovereignty_desc;On October 2, the Popular Front formally launched its political platform at a two day congress which Vaino Väljas attended gambling that the front could help Estonia become a model of economic and political revival, while moderating separatist and other radical tendencies but on November 16, 1988, the Supreme Soviet of the Estonian SSR adopted a declaration of national sovereignty under which Estonian laws should have precedence over those of the Soviet Union. Estonia's parliament also laid claim to the republic's natural resources: land, inland waters, forests, mineral deposits and to the means of industrial production, agriculture, construction, state banks, transportation, municipal services, etc. in the territory of Estonia's borders.;;;;;;;;;;X
rev_latvian_sovereignty;The Latvian Sovereignty Declaration;;;;;;;;;;X
rev_latvian_sovereignty_desc;On July 28, 1989, the Supreme Soviet of Latvian SSR adopted a ''Declaration of Sovereignty'' and amended the Constitution to assert the supremacy of its laws over those of the U.S.S.R.;;;;;;;;;;X
rev_lithuanian_sovereignty;The Lithuanian Sovereignty Declaration;;;;;;;;;;X
rev_lithuanian_sovereignty_desc;The Lithuanian Supreme Soviet (by a vote of 291 to 8 and 3 abstaining) declares for self-determination and restoration of state sovereignty!;;;;;;;;;;X
rev_belarusian_sovereignty;The Belarusian Sovereignty Declaration;;;;;;;;;;X
rev_belarusian_sovereignty_desc;In March 1990, elections for seats in the Supreme Soviet of the Belorussian SSR took place. Though the pro-independence Belarusian Popular Front took only 10 percent of the seats, the populace was content with the selection of the delegates. Belarus declared itself sovereign on 27 July 1990 by issuing the Declaration of State Sovereignty of the Belarusian Soviet Socialist Republic.;;;;;;;;;;X
rev_ukrainian_sovereignty;The Ukrainian Sovereignty Declaration;;;;;;;;;;X
rev_ukrainian_sovereignty_desc;The Declaration of State Sovereignty of Ukraine was adopted on July 16, 1990 by the recently elected parliament of Ukrainian SSR. The Declaration established the principles of Self-Determination of the Ukrainian Nation, Rule of the People, State Power, Citizenship of the Ukrainian SSR, Territorial Supremacy, Economic Independence, Environmental Safety, Cultural Development, External and Internal Security, and International Relations.;;;;;;;;;;X
rev_russian_sovereignty;The Russian Sovereignty Declaration;;;;;;;;;;X
rev_russian_sovereignty_desc;The Declaration on State Sovereignty of the RSFSR was a political act of the Russian Soviet Federative Socialist Republic, then part of the Soviet Union, which marked the beginning of constitutional reform in Russia. The Declaration was adopted by the First Congress of People's Deputies of the Russian SFSR on June 12, 1990. It proclaimed the sovereignty of the Russian SFSR and the intention to establish a democratic constitutional state within a liberalized Soviet Union.;;;;;;;;;;X
spitak_earthquake;The Spitak Earthquake;;;;;;;;;;X
spitak_earthquake_desc;The Spitak earthquake occurred in the northern region of Armenia on Wednesday, December 7, 1988. The earthquake measured 6.8 on the surface wave magnitude scale and had a maximum perceived intensity of X (Devastating) on the Medvedev–Sponheuer–Karnik scale. The region that the earthquake occurred is vulnerable to occasional large and destructive earthquakes and is part of a larger active seismic belt that stretches from the Alps to the Himalayas. Activity in the area is associated with tectonic plate boundary interaction and the source of the event was a slip of a thrust fault just to the north of Spitak. Despite the tensions of the Cold War, Soviet leader Mikhail Gorbachev formally asked the United States for humanitarian help within a few days of the earthquake, the first such request since World War II. One hundred and thirteen countries sent substantial amounts of humanitarian aid to the Soviet Union in the form of rescue equipment, search teams and medical supplies, but private donations and assistance from non-governmental organizations also had a large part of the international effort. While transporting some of these supplies to the region, a Soviet aircraft carrying 78 relief workers from Azerbaijan and a transport plane from Yugoslavia were both destroyed in separate incidents.;;;;;;;;;;X
nagorno-karabakh_question;The Nagorno-Karabakh Question;;;;;;;;;;X
nagorno-karabakh_question_desc;Gorbachev refused to make any changes to the status of Nagorno Karabakh, which remained part of Azerbaijan. He instead sacked the Communist Party Leaders in both Republics. You must choose what to do regarding the recent clashes between the Armenians and the Azerbaijanis.;;;;;;;;;;X
rev_georgia;Georgians are protesting!;;;;;;;;;;X
rev_georgia_desc;In November 1988 in Tbilisi, capital of Georgian Soviet Socialist Republic, large numbers of demonstrators camped out in front of the republic's legislature in support of Estonia's declaration of sovereignty.;;;;;;;;;;X
rev_moldavia;The Democratic Movement of Moldova;;;;;;;;;;X
rev_moldavia_desc;The Democratic Movement of Moldova organized public meetings, demonstrations, and song festivals from February 1988, which gradually grew in size and intensity. In the streets, the center of public manifestations was the Stephen the Great Monument in Chisinau, and the adjacent park harboring Aleea Clasicilor (The Alee of the Classics [of the Literature]). On January 15, 1988, in a tribute to Mihai Eminescu at his bust on the Aleea Clasicilor, Anatol Salaru submitted the proposal to continue the meetings. In the public discourse, the movement called for national awakening, freedom of speech, revival of Moldavian traditions, and for attainment of official status for the Moldovan language and return of it to the Latin script. The transition from ''movement'' (informal association) to ''front'' (formal association) was regarded by its sympathizers as a natural ''upgrade'' once the movement has gained momentum with the public, and the Soviet authorities could no longer crack down on it.;;;;;;;;;;X
rev_moldavia_2;The Grand National Assembly;;;;;;;;;;X
rev_moldavia_2_desc;The Grand National Assembly was the first major achievement of the Popular Front of Moldova. Mass demonstrations organized by its activists, including one attended by 300,000 participants on August 27, were of critical importance in convincing the Moldovan Supreme Soviet to adopt a new language law on August 31, 1989, to thunderous applause. The law stipulated Latin-script Moldovan (considered identical to Romanian by linguists) as the state language, although it was quite moderate, for instance defining Russian as a second ''language of interethnic communication'' alongside Moldovan, and the language of communication with the Soviet Union authorities. Later, when this autonomous territorial unit was created, Gagauz and Russian were recognized as official alongside Moldovan in Gagauzia.;;;;;;;;;;X
rev_moldavia_3;The Moldavians are rioting!;;;;;;;;;;X
rev_moldavia_3_desc;The 1989 civil unrest in Moldova began on November 7, 1989, in Chisinau, Moldavian SSR and continued on November 10, when protesters burned down the headquarters of the Ministry of Internal Affairs, led by Vladimir Voronin. Festivals on 7 November 1989 commemorating the October Revolution and 10 November celebrating the Soviet police force offered excellent opportunities for oppositionists to challenge authorities in highly visible settings and disrupt events of premiere importance to the Soviet regime. Popular Front of Moldova activists, often going beyond the official sanction of the movement leadership, organized actions that embarrassed the republican leadership, ultimately resulted in riots in central Chisinau. This unrest sealed the fate of the increasingly weak First Secretary of the Communist Party of Moldova. At the end of a year that had seen Semion Grossu and his organization pummeled from both the national revivalist right and the ''ultrarevolutionary'' internationalist left, Moscow replaced the First Secretary with Petru Lucinschi in a snap Central Committee plenum on November 16, 1989.;;;;;;;;;;X
rev_moldavia_4;The Moldavian Sovereignty Declaration;;;;;;;;;;X
rev_moldavia_4_desc;On June 23, 1990, the Supreme Soviet of the Moldavian SSR adopted the Declaration of Sovereignty, which, among other things, stipulated the supremacy of Moldovan laws over those of the Soviet Union.;;;;;;;;;;X
rev_transnitria;Transnitria self-declares a Soviet Republic!;;;;;;;;;;X
rev_transnitria_desc;On 2 September 1990, the Pridnestrovian Moldavian Soviet Socialist Republic was proclaimed as a Soviet republic by an ad hoc assembly, the Second Congress of the Peoples' Representatives of Transnistria.;;;;;;;;;;X
rev_poland;Solidarity;;;;;;;;;;X
rev_poland_desc;Solidarity is a Polish trade union federation that emerged on 31 August 1980 at the Gdansk Shipyard under the leadership of Lech Walesa. It was the first non–communist party-controlled trade union in a Warsaw Pact country. Solidarity reached 9.5 million members before its September 1981 Congress that constituted one third of the total working age population of Poland. In the 1980s, Solidarity was a broad anti-bureaucratic social movement, using the methods of civil resistance to advance the causes of workers' rights and social change. The government attempted to destroy the union during the period of martial law in the early 1980s and several years of political repression, but in the end it was forced to negotiate with the union.;;;;;;;;;;X
rev_poland_2;The Gdansk Agreement Anniversary;;;;;;;;;;X
rev_poland_2_desc;On August 31, 1987, the 7th anniversary of the Gdansk Agreement, street demonstrations and clashes with police took place in Warsaw, Wroc?aw, Lublin, and Bydgoszcz.;;;;;;;;;;X
rev_poland_3;The March 1968 Events Anniversary;;;;;;;;;;X
rev_poland_3_desc;On March 8, 1988, on the 20th anniversary of the 1968 Polish political crisis, activists of the Independent Students Union organized demonstrations in Warsaw, Kraków and Lublin. Most active demonstrators were immediately repressed by the government.;;;;;;;;;;X
rev_poland_4;Strikes of Spring 1988;;;;;;;;;;X
rev_poland_4_desc;On April 21, 1988, 5000 workers of Stalowa Wola Steelworks organized a meeting, during which they demanded end of repressions of Solidarity activists, and 20,000 zloty salary increase. First strikes broke out four days later, on April 25, 1988, in mass transportation centers in northern cities of Bydgoszcz and Inowroclaw. On the next day, one of the biggest companies of the country, Vladimir Lenin Steelworks in Krakow, joined the strike. The workers demanded salary increase, re-employment of Solidarity activists, who had been fired during the martial law, as well as legalization of Solidarity. Meanwhile, a strike broke out in Stalowa Wola Steelworks. Both these actions were suppressed by the Communist security forces (ZOMO), supported by anti-terrorist units. In Stalowa Wola, a demonstration of force, together with threats of use of regular army troops, was sufficient, and the strikers gave up on April 30. In Kraków, however, the workers continued their action, therefore the government decided to use power. In the night of May 4/5, the steelworks were brutallly pacified by the ZOMO and anti-terrorist units. In reaction to the attack, workers of several factories across the country organized protests and meetings.;;;;;;;;;;X
rev_poland_5_desc;On May 1, 1988, opposition activists organized peaceful demonstrations in several Polish cities, such as Bielsko-Biala, Dabrowa Gornicza, Gdansk, Krakow, Lodz, Plock, Poznan, Warsaw, and Wroclaw. They were attended by thousands of people, and in some places, street fights erupted. On the next day, a strike broke out in Lenin Gdansk Shipyard, where workers demanded legalization of Solidarity. Soon, Tadeusz Mazowiecki and Andrzej Wielowieyski showed up in Gdansk, ready to talk to the management of the plant. However, the talks were fruitless, and on May 10, after threats of use of force, the strike ended in the atmosphere of failure. The last strike of the spring took place in Szczecin, involving workers of city’s mass transit system.;;;;;;;;;;X
rev_poland_6;Strikes of Summer 1988;;;;;;;;;;X
rev_poland_6_desc;On August 15, a strike broke out at the July Manifesto coal mine in Jastrzebie-Zdroj, the mine had been a center of strikes eight years earlier. Importantly, miners from July Manifesto tried to start a strike on May 15, 1988, but the main activists of Solidarity had been arrested by the Stuzba Bezpieczenstwa, whose special agents got word of the plans. In the second half of August, further mines, most from southern Upper Silesia joined the strikers, and the Interfactory Strike Committee under Krzysztof Zakrzewski was founded in Jastrzebie-Zdroj. Miners from Jastrzebie-Zdroj were supported by a local priest, reverend Bernard Czernecki. On September 2, Lech Walesa appeared in the July Manifesto coalmine, the last place that continued the strike. After his appeal, and a long argument, the miners decided to give up. The strike at July Manifesto was the longest one of Communist Poland.;;;;;;;;;;X
rev_poland_7_desc;On August 17, the Port of Szczecin began to strike. In the following days, other companies from Szczecin stopped working, and the Interfactory Strike Committee was founded. It issued a statement, which consisted of four points, one of which was the demand of legalization of Solidarity.;;;;;;;;;;X
rev_poland_8_desc;On August 19, a group of young activists began circulating leaflets, urging workers of the Gdansk Lenin Shipyard to join striking miners from Jastrzebie-Zdroj. According to Alojzy Szablewski, who was leader of plant’s Solidarity, Lech Walesa was called, and during a meeting it was decided the strike would begin on Monday, August 22. On that day, at 7 a.m., some 3000 workers put away their tools. Their only demand was short - legalization of Solidarity. Soon afterwards, other main factories of Gdansk joined the shipyard - Port Polnocny, Stocznia Polnocna, Stocznia Remontowa. Interfactory Strike Committee was founded, led by Jacek Merkel, and workers were supported by a number of personalities, such as Jacek Kuron, Adam Michnik, Lech Kaczynski, and his twin brother Jaroslaw Kaczynski. Unlike in August 1980, the 1988 strike was different, as the government lacked power to force the strikers to give up. Furthermore, Gdansk Lenin Shipyard was visited by a number of guests from abroad, including Boston Mayor Ray Flynn, in whose presence the use of force was not likely. The events in Gdansk were described by Padraic Kenney as truly Orange Alternative strike. Workers of the Gdansk Repair Shipyard mocked secret service and police agents, by making a styrofoam tank with the slogan: Leave your arms at the gate, we want dialogue. The strikes in Gdamsk ended on September 1, and on September 3, both sides signed an agreement, according to which the communists promised not to persecute the strikers. The promise was broken, and hundreds of people were fired in the fall of 1988.;;;;;;;;;;X
rev_poland_9_desc;By far the biggest strike of summer 1988 took place in Stalowa Wola Steelworks, in which around 10,000 workers participated, and the plant was surrounded by militarized police units. The Stalowa Wola strike was so significant, that it was dubbed ''the fourth nail in the coffin of Communism''. Since the Steelworks was an arms manufacturer, the factory, which in the 1980s employed around 21,000 people, was under a watchful eye of the security services, and its employees were strictly prohibited from undertaking any kind of oppositional activities. Nevertheless, across the 1980s, it was one of main centers of protests and demonstrations, and in spring of 1988, Stalowa Wola workers started the first strike of that year, which ended after a few days, and which was a prelude of the summer events. On August 22 in the morning, workers of the plant decided to organize a sit-in, with only one demand - legalization of Solidarity. This decision was crucial for further events in Poland, as strikes in Upper Silesia were slowly coming to an end. Led by Wieslaw Wojtas, the strike lasted 11 days. Workers were supported by local priests, and activists of the so-called Supporting Office, who delivered food, medicine, blankets, helped those beaten by government security forces, but also informed Western Europe about situation in Stalowa Wola. Every day, citizens of the town gathered by the Gate 3 to the steelworks, where local parish priest, reverend Edmund Frankowski, celebrated two masses, which were attended by up to 10 000 people. Frankowski actively supported the strikers, in the sermons, he urged the faithful to help the workers. The Stalowa Wola strike ended on September 1, after the personal request of Lech Walesa, who called Wies?aw Wojtas, telling him: ''You are great, but please, end the strike, I am asking you in the name of Solidarity''. Following Walesa's request, 4,000 workers left the factory on September 1, at 7 p.m. Together with around 15,000 inhabitants of the city, they marched to the Church of Mary, Queen of Poland, where they were greeted by reverend Frankowski, who said: ''Illegal priest is welcoming participants of the illegal strike''.;;;;;;;;;;X
rev_poland_10;The Polish Round Table Agreement;;;;;;;;;;X
rev_poland_10_desc;Following the factory strikes of the early 1980s and the subsequent formation of the (then still underground) Solidarity movement under the leadership of Lech Walesa the political situation in Poland started relaxing somewhat. Despite an attempt by the government to crack down on the anti-Communist sentiments, the movement had gained too much momentum and it became impossible to hold off change anymore. In addition there was fear of a social explosion due to economic malaise and runaway inflation that had depressed Polish living standards and deepened public anger and frustration. By 1988 the authorities began serious talks with the opposition. In September 1988, when a wave of strikes was coming to an end, a secret meeting was held which included amongst others the opposition leader Lech Walesa and Minister of Internal Affairs Czeslaw Kiszczak. They agreed on holding the so-called Round Table talks in the near future to plan out the course of action to be undertaken in the country. The Round Table talks began on February 6, 1989 at 2:23 pm CET . They included the solidarity opposition faction and the coalition government faction. The talks were held in the Council of Ministers Office. The meetings were co-chaired by Lech Walesa and Czeslaw Kiszczak. The Polish Communists, led by General Jaruzelski, hoped to co-opt prominent opposition leaders into the ruling group without making major changes in the political power structure. In reality, the talks radically altered the shape of the Polish government and society.;;;;;;;;;;X
rev_poland_11;The Polish Round Table Agreement Results;;;;;;;;;;X
rev_poland_11_desc;An agreement was signed on April 4, 1989. The most important demands, including those reflected in the April Novelization, were: Legalization of independent trade unions, the introduction of the office of President (thereby annulling the power of the Communist party general secretary), who would be elected to a 6-year term and the formation of a Senate. As a result, real political power was vested in a newly created bicameral legislature and in a president who would be the chief executive. Solidarity became a legitimate and legal political party. Free election to 35 percent of the seats in Sejm (parliament) and an entirely free election to the Senate was assured.;;;;;;;;;;X
rev_poland_12;Elections of June;;;;;;;;;;X
rev_poland_12_desc;The election of June 4, 1989 brought a landslide victory to Solidarity: 99 percent of all the seats in the Senate and all of the 35 percent possible seats in Sejm. Jaruzelski, whose name was the only one the Communist Party allowed on the ballot for the presidency, won by just one vote in the National Assembly.;;;;;;;;;;X
rev_poland_13;A New Prime Minister;;;;;;;;;;X
rev_poland_13_desc;Czeslaw Kiszczak is nominated prime minister by president Wojciech Jaruzelski.;;;;;;;;;;X
rev_poland_14;The Contract Sejm;;;;;;;;;;X
rev_poland_14_desc;On July 19, the Sejm voted PZPR secretary, general Wojciech Jaruzelski, for president, but his candidature passed by only one vote, in turn he nominated general Czeslaw Kiszczak for prime minister, they intended for Solidarity to be given a few token positions for appearances. The Solidarity leaders, however, managed to convince the PZPR's longtime satellite parties, the ZSL and SD (some of whom already owed a debt to Solidarity for endorsing them during the second round) to switch sides, and create a coalition government with Solidarity. PZPR, which had 37.6 percent of the seats, suddenly found itself in minority. Abandoned by Moscow, Kiszczak resigned on August 14. With no choice but to appoint a Solidarity member as prime minister, on August 24 Jaruzelski appointed Solidarity activist, Tadeusz Mazowiecki as head of a Solidarity-led coalition, ushering a brief period described as ''Your president, our prime minister''. The elected parliament would be known as the Contract Sejm, from the ''contract'' between the Solidarity and the communist government which made it possible in the first place. Although the elections were not entirely democratic, they paved the way for creation of Tadeusz Mazowiecki's cabinet and a peaceful transition to democracy.;;;;;;;;;;X
rev_poland_15;A New Cabinet;;;;;;;;;;X
rev_poland_15_desc;On 13 September 1989 a new non-Communist government was approved by parliament, the first of its kind in the former Eastern Bloc.;;;;;;;;;;X
rev_poland_16;Felix Dzerzhinsky's statue is torn down!;;;;;;;;;;X
rev_poland_16_desc;On 17 November 1989 the statue of Felix Dzerzhinsky, Polish founder of the Cheka and symbol of Communist oppression, was torn down in Bank Square, Warsaw.;;;;;;;;;;X
rev_poland_17;Rename Poland;;;;;;;;;;X
rev_poland_17_desc;On 29 December 1989 the Sejm amended the constitution to change the official name of the country from the People's Republic of Poland to the Republic of Poland.;;;;;;;;;;X
rev_poland_18;Polish Presidential Election;;;;;;;;;;X
rev_poland_18_desc;Presidential elections were held in Poland on 25 November 1990, with a second round on 9 December. They were the first direct presidential elections in the history of Poland. Before World War II, presidents were elected by the Sejm, in 1952—1989 presidency was absent at all (some of its function were fulfilled by State Council of Poland at that time).;;;;;;;;;;X
ACTION_ELECT_WALESA;Elect Lech Walesa;;;;;;;;;;X
ACTION_ELECT_STANISLAW;Elect Stanislaw Tymi?ski;;;;;;;;;;X
ACTION_ELECT_TADEUSZ;Elect Tadeusz Mazowiecki;;;;;;;;;;X
poland_referendum;Referendum on Political and Economic Reforms;;;;;;;;;;X
poland_referendum_desc;On November 29, 1987, the Communists, who did not know how to deal with the crisis, decided to seek popular support for a 110 percent price increase, calling the Referendum on political and economic reforms (see Referendums in Poland) supported by the old slogan of ''democratization'' as the only concession.;;;;;;;;;;X
poland_referendum_2;The Referendum Results!;;;;;;;;;;X
poland_referendum_2_desc;The government's aim in holding the referendum was to obtain a mandate for difficult economic and political reforms. Around a third of eligible voters did not participate, defying the regime. Only 44 percent of Poland's 26 million eligible voters voted yes to the question on economic reform, and 46 percent voted yes to the second question on ''democratisation'' in Poland. Even though a majority of the votes cast supported the propositions, according to the rules of the referendum the majority of eligible voters had to vote yes in order for the referendum to pass. The resulting failure of the referendum was unprecedented, as it was the first time that Communist authorities in Eastern Europe had lost a vote. The government of Zbigniew Messner lost the referendum - according to independent sources, with the turnout of around 30 percent , but officially, it was announced that 63.8 percent voters participated in it, and so, deputy prime minister Zdzislaw Sadowski decided to go on with the price increase.;;;;;;;;;;X
poland_referendum_3;Inflation rises!;;;;;;;;;;X
poland_referendum_3_desc;The policy of increased prices was introduced on February 1, 1988. It was the biggest hike since 1982. The operation was a failure, as the massive price increases were followed by 40 percent increase in wages, meant to offset the price increases. As a result, inflation rose at alarming speed.;;;;;;;;;;X
ukraine_independence;Declaration of Independence of Ukraine;;;;;;;;;;X
ukraine_independence_desc;The Act of Declaration of Independence of Ukraine was adopted by the Ukrainian parliament on 24 August 1991. The Act established Ukraine as an independent state. It was adopted in the aftermath of the coup attempt on 19 August when conservative Communist leaders of the Soviet Union tried to restore central Communist party control over the USSR. In response, the Supreme Soviet (parliament) of the Ukrainian SSR in a special Saturday session overwhelmingly approved the Act of Declaration. The same day (24 August), the parliament called for a referendum on support for the Declaration of Independence. The Parliament also voted for the creation of a national guard of Ukraine and turned jurisdiction over all the armed forces located on Ukrainian territory over to itself. Other than a noisy crowd that had gathered at Parliament, the streets of Kiev were quiet that day, with few signs of open celebration.;;;;;;;;;;X
ukraine_flag;Restore Ukrainian National Flag;;;;;;;;;;X
ukraine_flag_desc;After the declaration of independence of Ukraine on August 24, 1991, the national yellow-and-blue flag flew for the first time over the Ukrainian Parliament (Verkhovna Rada) building on September 4, 1991.;;;;;;;;;;X
ukraine_independence_referendum;Ukrainian Independence Referendum;;;;;;;;;;X
ukraine_independence_referendum_desc;A referendum on the Act of Declaration of Independence was held in Ukraine on 1 December 1991. An overwhelming majority of 92.3 percent of voters approved the declaration of independence made by the Verkhovna Rada on 24 August 1991.;;;;;;;;;;X
belarus_independence;A Symbolic Act of Independence (change official name);;;;;;;;;;X
belarus_independence_desc;In March 1990, elections for seats in the Supreme Soviet of the Belorussian Soviet Socialist Republic took place. Though the pro-independence Belarusian Popular Front took only 10 percent of the seats, the populace was content with the selection of the delegates. Belarus declared itself sovereign on 27 July 1990 by issuing the Declaration of State Sovereignty of the Belarusian Soviet Socialist Republic. With the support of the Communist Party, the country's name was changed to the Republic of Belarus on 25 August 1991.;;;;;;;;;;X
belarus_flag;Belarus Changes Flag;;;;;;;;;;X
belarus_flag_desc;In late 1980s the white-red-white flag was used as a symbol of national revival and democratic changes in Belarus. By proposal of the Belarusian Popular Front the flag became state symbol of Belarus upon its regaining of independence in 1991.;;;;;;;;;;X
estonia_independence;The Declaration of Independence of Estonia;;;;;;;;;;X
estonia_independence_desc;Early in 1991, Soviet leaders opted for the use of force to quash the Baltic bids for independence. Bloody events in Vilnius and Riga led to barricades in the streets of Tallinn as well. The intervention of Russian President Boris Yeltsin helped resolve the crisis. The Baltic question had by this time risen to the level of international politics, a topic in talks among superpowers. A public poll held on 3 March 1991 also helped the cause, forestalling a pan-Soviet referendum on the issue of preservation of the Soviet Union. In the Estonian poll, 77 percent voted for Estonian independence. Moscow continued to wave a treaty of union at the Estonians, hinting at economic sanctions in the case of non-compliance. The impasse was resolved by an attempted coup by Soviet hardliners on 19 August 1991, which failed rapidly. In Estonia, an understanding was reached between the two rival political movements, and in defiance of approaching tanks, the Supreme Council in coordination with the Congress of Estonia adopted a decision on national independence on 20 August 1991.;;;;;;;;;;X
estonia_flag;Restore Estonian National Flag;;;;;;;;;;X
estonia_flag_desc;When the Red Army arrived on 22 September, the red flag was just added at first. Soon afterwards, however, the blue-black-white flag disappeared. The flag remained illegal until the days of perestroika in the late 1980s when on 24 February 1989 the blue-black-white flag was again flown from the Pikk Hermann tower in Tallinn. It was formally re-declared as the national flag on 7 August 1990, little over a year before Estonia regained full independence.;;;;;;;;;;X
estonia_name;Rename Estonia;;;;;;;;;;X
estonia_name_desc;On May 8, 1990, the Supreme Council of the Republic of Estonia (renamed the previous day) changed the name to the Republic of Estonia.;;;;;;;;;;X
lithuania_independence;The Act of the Re-Establishment of the State of Lithuania;;;;;;;;;;X
lithuania_independence_desc;As Mikhail Gorbachev attempted to revive economy of the Soviet Union, he introduced glasnost (openness) and perestroika (restructuring). These reforms encouraged changes within the Soviet government and invited the public into discussions. For the activists, it was an opportunity to bring their movements from underground into the public life. On August 23, 1987 (48th anniversary of the Molotov–Ribbentrop Pact), the Lithuanian Liberty League organized the first public protest rally that did not result in arrests. In mid-1988, a group of 35 intellectuals organized S?judis Reform Movement with the officially stated goal of supporting, discussing, and implementing Gorbachev's reforms. S?judis grew in popularity, attracting large crowds to rallies in Vingis Park and radicalizing its agenda. The movement, afraid of angering Moscow and causing a violent clampdown, continuously pushed further with its demands: from limited discussions on Gorbachev's reforms, to demand of greater say in economic decisions, to political autonomy within the Soviet Union. By the time of the Baltic Way, a human chain spanning over 600 kilometres (370 mi) across the three Baltic states to mark the 50th anniversary of the Molotov–Ribbentrop Pact, full independence was the official goal. The Act of the Re-Establishment of the State of Lithuania or Act of March 11 was an independence declaration by the Lithuanian Soviet Socialist Republic adopted on March 11, 1990. Signed by all members of the Supreme Soviet of the Lithuanian SSR, the act emphasized restoration and legal continuity of the interwar-period Lithuania, which was occupied by the USSR and lost independence in June 1940.;;;;;;;;;;X
lithuania_independence_2;Lithuanian Independence Response;;;;;;;;;;X
lithuania_independence_2_desc;Lithuania has declared independence from the Union, what shall we do?;;;;;;;;;;X
lithuania_independence_3;The Soviet Union Embargoes Lithuania;;;;;;;;;;X
lithuania_independence_3_desc;The Lithuanian Republic declared independence from the Soviet Union on March 11, 1990, and thereafter underwent a difficult period of emergence. Economic and energy shortages undermined public faith in the newly restored state. The Soviet Union attempted to suppress the secession by imposing an economic blockade. The inflation rate reached 100 percent and continued to increase rapidly. The fact that Lithuania had proclaimed independence unilaterally also caused discontent among the minorities of Russian and Polish descent, many of whom were supporters of the Moscow-backed branch of the Lithuanian Communist Party and the largely communist-dominated Yedinstvo movement. Tension rose sharply in the early days of 1991. During the five days preceding the events, Russian, Polish, and other workers at Vilnius factories protested the government's consumer goods price hikes and what they saw as ethnic discrimination.;;;;;;;;;;X
lithuania_independence_4;Brazauskas Chairman of the Presidium of the Supreme Soviet;;;;;;;;;;X
lithuania_independence_4_desc;In 1988, he became the first secretary of the Communist Party of Lithuania. Under his leadership, the Communist Party of Lithuania supported the Lithuanian independence movement, broke away from the Communist Party of the Soviet Union and transformed itself into social-democratic Democratic Labour Party of Lithuania. Brazauskas became Chairman of the Presidium of the Supreme Soviet (head of state) on 15 January.;;;;;;;;;;X
lithuania_independence_5;Prunskiene Resignation;;;;;;;;;;X
lithuania_independence_5_desc;In 1988 Prunskiene helped found the grass-roots Lithuanian Restructuring Movement, better known as Sajudis, that eventually grew into Lithuania's leading pro-independence group. She was eventually elected to position as Prime Minister on March 17, by the Lithuanian Supreme Council and immediately faced the problems brought on by an economic embargo set in place by Mikhail Gorbachev in an attempt to force Lithuania back under control of the crumbling USSR. Prunskiene flew to countries all over the world, including the United States, to try to gain support for negotiations with Gorbachev about the embargo through such committees as the Helsinki Commission. After nine months in office, on January 8, the conflict between Chairman of the Parliament Vytautas Landsbergis and the more pragmatic Prime Minister Kazimira Prunskiene culminated in her resignation. Prunskiene met with Soviet Union president Mikhail Gorbachev on that day. He refused her request for assurances that military action would not be taken.;;;;;;;;;;X
lithuania_independence_6;The January Events;;;;;;;;;;X
